ADM2CD_c,NAM_1,NAM_2,score,poverty_rural
AGO002006,Benguela,Catumbela,0.7020891089188425,0.353
AGO002003,Benguela,Benguela,0.682769649369376,0.349
AGO002005,Benguela,Caimbambo,0.6461287113657243,0.596
AGO002008,Benguela,Cubal,0.6293205204416865,0.74
AGO002001,Benguela,Baia Farta,0.6291599175251952,0.442
AGO002009,Benguela,Ganda,0.6030893904719761,0.636
AGO002002,Benguela,Balombo,0.5825892644699173,0.6940000000000001
AGO002004,Benguela,Bocoio,0.5693498766676741,0.652
AGO002007,Benguela,Chongoroi,0.5138673905963093,0.765
AGO002010,Benguela,Lobito,0.5137166050245177,0.648
