oi,dj,flow,dist_km
AGO009001,AGO009001,48204.593766781276,0.0
AGO009001,AGO009002,4839.5592553188535,149.95059138211954
AGO009001,AGO009003,4331.027725280704,75.76795328119805
AGO009001,AGO009004,27770.079627794512,96.84604040676854
AGO009001,AGO009005,4193.47255527024,103.49589761949457
AGO009001,AGO009006,8041.285074569252,68.60301812344727
AGO009001,AGO009007,1742.643919462662,143.3971381490347
AGO009001,AGO009008,9458.926926474205,44.38451235529151
AGO009001,AGO009009,3051.039508036922,115.3569933067146
AGO009001,AGO009010,650.1068276951577,138.27671619290177
AGO009001,AGO009011,1539.671825372052,116.62109956489832
AGO009002,AGO009001,4839.5592553188535,149.95059138211954
AGO009002,AGO009002,43672.15553229646,0.0
AGO009002,AGO009003,3730.351919269722,82.42998579780324
AGO009002,AGO009004,48969.394168273466,55.73883214348809
AGO009002,AGO009005,4269.469354122228,99.00708547532538
AGO009002,AGO009006,3589.816539102704,119.07741873457546
AGO009002,AGO009007,7457.552902204944,43.18409309461152
AGO009002,AGO009008,1141.6836925944312,182.0567156377819
AGO009002,AGO009009,6072.914301538324,66.17512336775106
AGO009002,AGO009010,1374.6314073476353,85.06498248546822
AGO009002,AGO009011,2765.598651698036,74.28379107775007
AGO009003,AGO009001,4331.027725280704,75.76795328119805
AGO009003,AGO009002,3730.351919269722,82.42998579780324
AGO009003,AGO009003,3777.9971063481494,0.0
AGO009003,AGO009004,16715.24361941826,45.81323468630612
AGO009003,AGO009005,1365.3020612963112,93.43078485208467
AGO009003,AGO009006,3477.073098679012,39.620876083900285
AGO009003,AGO009007,1516.1489516454717,67.80378872159798
AGO009003,AGO009008,899.2754645952499,116.38415657287393
AGO009003,AGO009009,1436.591982411106,80.69556432690273
AGO009003,AGO009010,524.4928518818439,67.7150322278195
AGO009003,AGO009011,1284.7053879394557,43.81508032974105
AGO009004,AGO009001,27770.079627794512,96.84604040676854
AGO009004,AGO009002,48969.394168273466,55.73883214348809
AGO009004,AGO009003,16715.24361941826,45.81323468630612
AGO009004,AGO009004,292318.86993093626,0.0
AGO009004,AGO009005,20646.95487851825,57.3063489361181
AGO009004,AGO009006,15508.324618036848,84.89684516469323
AGO009004,AGO009007,13147.070942018418,68.75713242144015
AGO009004,AGO009008,6800.3128278744425,126.46356439708788
AGO009004,AGO009009,24755.708889333036,35.86510545257402
AGO009004,AGO009010,3164.2219142878066,92.85469538879511
AGO009004,AGO009011,7572.2094775457335,70.50642273330783
AGO009005,AGO009001,4193.47255527024,103.49589761949457
AGO009005,AGO009002,4269.469354122228,99.00708547532538
AGO009005,AGO009003,1365.3020612963112,93.43078485208467
AGO009005,AGO009004,20646.95487851825,57.3063489361181
AGO009005,AGO009005,8137.483105233285,0.0
AGO009005,AGO009006,1396.5609430236707,126.00898242529672
AGO009005,AGO009007,952.4643993211512,124.3717586072769
AGO009005,AGO009008,1401.6547350840322,112.37242941265039
AGO009005,AGO009009,4298.474711368528,33.20602114801135
AGO009005,AGO009010,224.27294911714066,149.92912759478773
AGO009005,AGO009011,541.6772740160419,126.96559875378843
AGO009006,AGO009001,8041.285074569252,68.60301812344727
AGO009006,AGO009002,3589.816539102704,119.07741873457546
AGO009006,AGO009003,3477.073098679012,39.620876083900285
AGO009006,AGO009004,15508.324618036848,84.89684516469323
AGO009006,AGO009005,1396.5609430236707,126.00898242529672
AGO009006,AGO009006,10504.608146169767,0.0
AGO009006,AGO009007,1689.4238258252535,94.67685608924637
AGO009006,AGO009008,1578.1239848335433,112.97797957119711
AGO009006,AGO009009,1357.0711464111557,118.57922002184512
AGO009006,AGO009010,781.413573374984,75.22418293735197
AGO009006,AGO009011,1715.008102385602,58.64318908587272
AGO009007,AGO009001,1742.643919462662,143.3971381490347
AGO009007,AGO009002,7457.552902204944,43.18409309461152
AGO009007,AGO009003,1516.1489516454717,67.80378872159798
AGO009007,AGO009004,13147.070942018418,68.75713242144015
AGO009007,AGO009005,952.4643993211512,124.3717586072769
AGO009007,AGO009006,1689.4238258252535,94.67685608924637
AGO009007,AGO009007,4651.858091741611,0.0
AGO009007,AGO009008,370.73140630285815,182.39401888677645
AGO009007,AGO009009,1279.2854910226033,95.36278305253963
AGO009007,AGO009010,847.8315129211682,42.63411449231488
AGO009007,AGO009011,1541.759280882986,38.59118903114799
AGO009008,AGO009001,9458.926926474205,44.38451235529151
AGO009008,AGO009002,1141.6836925944312,182.0567156377819
AGO009008,AGO009003,899.2754645952499,116.38415657287393
AGO009008,AGO009004,6800.3128278744425,126.46356439708788
AGO009008,AGO009005,1401.6547350840322,112.37242941265039
AGO009008,AGO009006,1578.1239848335433,112.97797957119711
AGO009008,AGO009007,370.73140630285815,182.39401888677645
AGO009008,AGO009008,7028.6800992551125,0.0
AGO009008,AGO009009,873.9202840445186,134.52504509957825
AGO009008,AGO009010,129.84895233042795,181.47919194462065
AGO009008,AGO009011,311.2460941752843,159.0219648838884
AGO009009,AGO009001,3051.039508036922,115.3569933067146
AGO009009,AGO009002,6072.914301538324,66.17512336775106
AGO009009,AGO009003,1436.591982411106,80.69556432690273
AGO009009,AGO009004,24755.708889333036,35.86510545257402
AGO009009,AGO009005,4298.474711368528,33.20602114801135
AGO009009,AGO009006,1357.0711464111557,118.57922002184512
AGO009009,AGO009007,1279.2854910226033,95.36278305253963
AGO009009,AGO009008,873.9202840445186,134.52504509957825
AGO009009,AGO009009,6148.574006316461,0.0
AGO009009,AGO009010,278.7522612794411,126.08979594702026
AGO009009,AGO009011,654.207256181114,105.03998604105652
AGO009010,AGO009001,650.1068276951577,138.27671619290177
AGO009010,AGO009002,1374.6314073476353,85.06498248546822
AGO009010,AGO009003,524.4928518818439,67.7150322278195
AGO009010,AGO009004,3164.2219142878066,92.85469538879511
AGO009010,AGO009005,224.27294911714066,149.92912759478773
AGO009010,AGO009006,781.413573374984,75.22418293735197
AGO009010,AGO009007,847.8315129211682,42.63411449231488
AGO009010,AGO009008,129.84895233042795,181.47919194462065
AGO009010,AGO009009,278.7522612794411,126.08979594702026
AGO009010,AGO009010,555.2204728800878,0.0
AGO009010,AGO009011,660.230608112965,24.27531508383428
AGO009011,AGO009001,1539.671825372052,116.62109956489832
AGO009011,AGO009002,2765.598651698036,74.28379107775007
AGO009011,AGO009003,1284.7053879394557,43.81508032974105
AGO009011,AGO009004,7572.2094775457335,70.50642273330783
AGO009011,AGO009005,541.6772740160419,126.96559875378843
AGO009011,AGO009006,1715.008102385602,58.64318908587272
AGO009011,AGO009007,1541.759280882986,38.59118903114799
AGO009011,AGO009008,311.2460941752843,159.0219648838884
AGO009011,AGO009009,654.207256181114,105.03998604105652
AGO009011,AGO009010,660.230608112965,24.27531508383428
AGO009011,AGO009011,1626.315864198122,0.0
