site_id,lon,lat,dist_km_nearest_gov,dist_km_nearest_wb,dist_km_nearest_oth,count_gov_le5km,count_wb_le5km,count_oth_le5km,count_gov_le10km,count_wb_le10km,count_oth_le10km,count_gov_le30km,count_wb_le30km,count_oth_le30km
1,15.5264,-12.8571,,0.0,,0,39,0,0,39,0,0,39,0
2,15.59792,-12.80258,,0.0,,0,39,0,0,39,0,0,39,0
3,16.2218,-12.6158,,0.0,,0,39,0,0,39,0,0,39,0
4,16.2347,-12.4255,,0.0,,0,39,0,0,39,0,0,39,0
5,15.65676,-12.72231,,0.0,,0,39,0,0,39,0,0,39,0
6,15.59924,-12.72806,,0.0,,0,39,0,0,39,0,0,39,0
7,15.79899,-13.03986,,0.0,,0,39,0,0,39,0,0,39,0
8,15.82374,-12.89107,,0.0,,0,39,0,0,39,0,0,39,0
9,15.83206,-12.87903,,0.0,,0,39,0,0,39,0,0,39,0
10,15.71652,-12.55124,,0.0,,0,39,0,0,39,0,0,39,0
11,15.65684,-12.73333,,0.0,,0,39,0,0,39,0,0,39,0
12,15.58404,-12.72673,,0.0,,0,39,0,0,39,0,0,39,0
13,15.65684,-12.73333,,0.0,,0,39,0,0,39,0,0,39,0
14,15.80627,-13.03332,,0.0,,0,39,0,0,39,0,0,39,0
15,15.84569,-12.86173,,0.0,,0,39,0,0,39,0,0,39,0
16,15.82791,-12.86884,,0.0,,0,39,0,0,39,0,0,39,0
17,15.71841,-12.56188,,0.0,,0,39,0,0,39,0,0,39,0
18,15.67461,-12.57026,,0.0,,0,39,0,0,39,0,0,39,0
19,15.70604,-12.60574,,0.0,,0,39,0,0,39,0,0,39,0
20,15.76499,-12.63487,,0.0,,0,39,0,0,39,0,0,39,0
21,15.34837,-13.02389,,0.0,,0,39,0,0,39,0,0,39,0
22,14.8426,-12.7721,,0.0,,0,39,0,0,39,0,0,39,0
23,14.872,-12.7327,,0.0,,0,39,0,0,39,0,0,39,0
24,14.9495,-12.7329,,0.0,,0,39,0,0,39,0,0,39,0
25,14.9692,-12.83,,0.0,,0,39,0,0,39,0,0,39,0
26,14.9118,-12.8505,,0.0,,0,39,0,0,39,0,0,39,0
27,14.9099,-12.8615,,0.0,,0,39,0,0,39,0,0,39,0
28,16.04757,-12.56103,,0.0,,0,39,0,0,39,0,0,39,0
29,16.01084,-12.55588,,0.0,,0,39,0,0,39,0,0,39,0
30,15.9,-12.53235,,0.0,,0,39,0,0,39,0,0,39,0
31,15.85686,-12.55911,,0.0,,0,39,0,0,39,0,0,39,0
32,15.83531,-12.53863,,0.0,,0,39,0,0,39,0,0,39,0
33,15.83935,-12.52767,,0.0,,0,39,0,0,39,0,0,39,0
34,15.80946,-12.48806,,0.0,,0,39,0,0,39,0,0,39,0
35,16.01474,-12.59281,,0.0,,0,39,0,0,39,0,0,39,0
36,16.09522,-12.61662,,0.0,,0,39,0,0,39,0,0,39,0
37,16.00379,-12.61703,,0.0,,0,39,0,0,39,0,0,39,0
38,15.21858,-12.73977,,0.0,,0,39,0,0,39,0,0,39,0
39,15.11666,-12.85058,,0.0,,0,39,0,0,39,0,0,39,0
