Province (AOI),Origin Admin2,Destination Admin2,Modelled flow (relative),Distance (km),Both in top priority mask?
Huambo,Caala,Huambo,97938.8,55.7,N/A
Huambo,Bailundo,Huambo,55540.2,96.8,N/A
Huambo,Huambo,Tchikala-tcholoanga,49511.4,35.9,N/A
Huambo,Huambo,Katchiungo,41293.9,57.3,N/A
Huambo,Ekunha,Huambo,33430.5,45.8,N/A
Huambo,Huambo,Londuimbali,31016.6,84.9,N/A
Huambo,Huambo,Longonjo,26294.1,68.8,N/A
Huambo,Bailundo,Mungo,18917.9,44.4,N/A
Huambo,Bailundo,Londuimbali,16082.6,68.6,N/A
Huambo,Huambo,Ukuma,15144.4,70.5,N/A
