oi,dj,o_lon,o_lat,d_lon,d_lat
3,3,21.997868306510306,-10.90182356202823,21.997868306510306,-10.90182356202823
0,0,22.908215254467756,-12.209336083052378,22.908215254467756,-12.209336083052378
3,3,21.997868306510306,-10.90182356202823,21.997868306510306,-10.90182356202823
3,3,21.997868306510306,-10.90182356202823,21.997868306510306,-10.90182356202823
0,0,22.908215254467756,-12.209336083052378,22.908215254467756,-12.209336083052378
3,3,21.997868306510306,-10.90182356202823,21.997868306510306,-10.90182356202823
3,3,21.997868306510306,-10.90182356202823,21.997868306510306,-10.90182356202823
3,3,21.997868306510306,-10.90182356202823,21.997868306510306,-10.90182356202823
0,0,22.908215254467756,-12.209336083052378,22.908215254467756,-12.209336083052378
0,0,22.908215254467756,-12.209336083052378,22.908215254467756,-12.209336083052378
0,0,22.908215254467756,-12.209336083052378,22.908215254467756,-12.209336083052378
3,3,21.997868306510306,-10.90182356202823,21.997868306510306,-10.90182356202823
3,0,21.997868306510306,-10.90182356202823,22.908215254467756,-12.209336083052378
3,3,21.997868306510306,-10.90182356202823,21.997868306510306,-10.90182356202823
0,0,22.908215254467756,-12.209336083052378,22.908215254467756,-12.209336083052378
0,0,22.908215254467756,-12.209336083052378,22.908215254467756,-12.209336083052378
